
COLOR_GrasSurface
N048.35.29.917 W002.04.42.099
N048.35.31.903 W002.04.42.631


COLOR_HardSurface1
N048.35.06.646 W002.04.14.939
N048.35.06.434 W002.04.15.116
N048.35.06.310 W002.04.15.304
N048.35.06.200 W002.04.15.573
N048.35.06.147 W002.04.15.802
N048.35.06.135 W002.04.16.038
N048.35.06.164 W002.04.16.316
N048.35.05.788 W002.04.16.564
N048.35.05.751 W002.04.16.280
N048.35.05.754 W002.04.15.928
N048.35.05.805 W002.04.15.543
N048.35.05.892 W002.04.15.218
N048.35.06.050 W002.04.14.905
N048.35.06.238 W002.04.14.660
N048.35.06.498 W002.04.14.443
N048.35.07.073 W002.04.14.135
N048.35.10.823 W002.04.12.082
N048.35.10.955 W002.04.12.595
N048.35.07.206 W002.04.14.635


COLOR_RunwayGrass
N048.35.22.016 W002.05.00.318
N048.35.21.887 W002.05.00.194
N048.35.21.817 W002.04.59.857
N048.35.21.877 W002.04.59.521
N048.35.22.064 W002.04.59.273
N048.35.22.391 W002.04.59.220
N048.35.28.354 W002.05.00.789
N048.35.28.671 W002.05.00.914
N048.35.28.883 W002.05.01.287
N048.35.28.872 W002.05.01.748
N048.35.28.708 W002.05.02.066
N048.35.28.381 W002.05.02.172
N048.35.22.238 W002.05.00.407


COLOR_RunwayGrass
N048.35.20.336 W002.04.39.028
N048.35.20.075 W002.04.39.033
N048.35.19.912 W002.04.39.128
N048.35.19.814 W002.04.39.378
N048.35.19.715 W002.04.40.073
N048.35.16.474 W002.04.39.580
N048.35.17.249 W002.04.33.443
N048.35.20.361 W002.04.34.264
N048.35.19.940 W002.04.38.185
N048.35.19.991 W002.04.38.405
N048.35.20.110 W002.04.38.574
N048.35.20.347 W002.04.38.694
N048.35.20.860 W002.04.38.805
N048.35.20.826 W002.04.39.114


COLOR_RunwayGrass
N048.35.14.697 W002.04.27.710
N048.35.14.912 W002.04.27.766
N048.35.15.099 W002.04.27.850
N048.35.15.255 W002.04.27.968
N048.35.15.412 W002.04.28.100
N048.35.15.527 W002.04.28.214
N048.35.15.214 W002.04.28.422
N048.35.15.036 W002.04.28.281
N048.35.14.840 W002.04.28.210
N048.35.14.684 W002.04.28.173
N048.35.14.485 W002.04.28.145
N048.35.14.355 W002.04.28.145
N048.35.14.566 W002.04.27.696


COLOR_RunwayConcrete
N048.35.43.631 W002.04.56.365
N048.35.43.281 W002.04.56.587
N048.35.42.975 W002.04.57.022
N048.35.42.863 W002.04.57.490
N048.35.42.838 W002.05.02.226
N048.35.42.234 W002.05.02.210
N048.35.42.225 W002.04.56.429
N048.35.42.203 W002.04.56.046
N048.35.42.139 W002.04.55.853
N048.35.41.981 W002.04.55.758
N048.35.16.833 W002.04.49.133
N048.35.25.156 W002.05.15.788
N048.35.25.380 W002.05.16.053
N048.35.25.715 W002.05.16.253
N048.35.26.063 W002.05.16.384
N048.35.26.399 W002.05.16.435
N048.35.26.633 W002.05.16.394
N048.35.26.815 W002.05.16.262
N048.35.26.999 W002.05.16.062
N048.35.27.138 W002.05.15.753
N048.35.27.293 W002.05.15.296
N048.35.27.857 W002.05.17.187
N048.35.27.551 W002.05.17.344
N048.35.27.408 W002.05.17.496
N048.35.27.276 W002.05.17.708
N048.35.27.094 W002.05.18.340
N048.35.27.299 W002.05.19.012
N048.35.25.071 W002.05.20.543
N048.35.25.232 W002.05.21.185
N048.35.24.271 W002.05.23.780
N048.35.23.472 W002.05.21.320
N048.35.24.426 W002.05.18.489
N048.35.15.150 W002.04.48.688
N048.34.42.882 W002.04.40.176
N048.34.43.117 W002.04.38.050
N048.34.43.228 W002.04.37.849
N048.34.43.393 W002.04.37.703
N048.34.43.611 W002.04.37.641
N048.34.43.820 W002.04.37.619
N048.34.44.027 W002.04.37.721
N048.34.44.233 W002.04.37.877
N048.34.44.384 W002.04.38.099
N048.34.44.535 W002.04.38.362
N048.34.44.642 W002.04.38.474
N048.35.14.455 W002.04.46.334
N048.35.05.233 W002.04.16.784
N048.35.06.554 W002.04.15.884
N048.35.08.719 W002.04.22.944
N048.35.08.917 W002.04.23.324
N048.35.09.244 W002.04.23.663
N048.35.09.620 W002.04.23.753
N048.35.10.042 W002.04.23.652
N048.35.10.731 W002.04.23.182
N048.35.10.933 W002.04.23.811
N048.35.10.388 W002.04.24.168
N048.35.10.138 W002.04.24.569
N048.35.09.934 W002.04.25.213
N048.35.09.852 W002.04.25.917
N048.35.09.904 W002.04.26.717
N048.35.11.254 W002.04.31.052
N048.35.11.457 W002.04.31.342
N048.35.11.711 W002.04.31.500
N048.35.11.823 W002.04.31.579
N048.35.11.905 W002.04.31.505
N048.35.12.965 W002.04.29.944
N048.35.13.180 W002.04.30.245
N048.35.12.228 W002.04.31.713
N048.35.13.599 W002.04.32.109
N048.35.13.570 W002.04.32.402
N048.35.12.279 W002.04.32.065
N048.35.12.049 W002.04.32.021
N048.35.11.854 W002.04.32.072
N048.35.11.715 W002.04.32.210
N048.35.11.682 W002.04.32.379
N048.35.16.155 W002.04.46.788
N048.35.18.429 W002.04.47.376
N048.35.18.750 W002.04.47.342
N048.35.19.046 W002.04.47.251
N048.35.19.514 W002.04.46.781
N048.35.19.885 W002.04.46.235
N048.35.20.003 W002.04.45.928
N048.35.20.078 W002.04.45.458
N048.35.20.561 W002.04.41.529
N048.35.21.152 W002.04.41.696
N048.35.20.672 W002.04.45.686
N048.35.20.750 W002.04.46.662
N048.35.21.049 W002.04.47.691
N048.35.21.565 W002.04.48.222
N048.35.28.844 W002.04.50.139
N048.35.29.445 W002.04.50.007
N048.35.29.879 W002.04.49.741
N048.35.30.172 W002.04.49.270
N048.35.30.453 W002.04.48.676
N048.35.30.649 W002.04.47.995
N048.35.31.034 W002.04.44.288
N048.35.31.670 W002.04.44.465
N048.35.31.220 W002.04.48.563
N048.35.31.317 W002.04.49.701
N048.35.31.478 W002.04.50.279
N048.35.31.655 W002.04.50.685
N048.35.31.938 W002.04.50.940
N048.35.50.155 W002.04.55.718
N048.35.50.539 W002.04.55.702
N048.35.50.889 W002.04.55.532
N048.35.51.222 W002.04.55.279
N048.35.51.536 W002.04.55.081
N048.35.51.905 W002.04.55.022
N048.35.52.262 W002.04.55.129
N048.35.52.553 W002.04.55.415
N048.35.52.842 W002.04.55.853
N048.35.53.094 W002.04.56.492
N048.35.52.869 W002.04.58.634
N048.35.44.025 W002.04.56.315


COLOR_Building
N048.35.43.817 W002.05.11.985
N048.35.43.650 W002.05.12.074
N048.35.43.926 W002.05.13.290
N048.35.41.303 W002.05.14.634
N048.35.41.205 W002.05.14.161
N048.35.42.176 W002.05.13.629
N048.35.42.019 W002.05.12.874
N048.35.40.815 W002.05.13.493
N048.35.40.943 W002.05.14.013
N048.35.39.897 W002.05.14.564
N048.35.39.601 W002.05.13.342
N048.35.38.610 W002.05.13.863
N048.35.38.976 W002.05.15.495
N048.35.37.225 W002.05.16.361
N048.35.36.804 W002.05.14.523
N048.35.37.175 W002.05.14.372
N048.35.36.714 W002.05.12.362
N048.35.44.892 W002.05.08.404
N048.35.45.439 W002.05.10.834
N048.35.43.748 W002.05.11.659


COLOR_Building
N048.35.32.002 W002.05.22.057
N048.35.32.900 W002.05.20.171
N048.35.33.740 W002.05.21.058
N048.35.34.272 W002.05.22.440
N048.35.33.882 W002.05.23.245
N048.35.32.828 W002.05.22.911


COLOR_Building
N048.35.29.740 W002.04.34.332
N048.35.30.346 W002.04.34.478
N048.35.30.220 W002.04.35.697
N048.35.29.615 W002.04.35.552


COLOR_Building
N048.35.26.919 W002.04.33.730
N048.35.27.882 W002.04.33.985
N048.35.27.775 W002.04.35.107
N048.35.26.782 W002.04.34.851


COLOR_Building
N048.35.22.395 W002.04.32.045
N048.35.23.877 W002.04.32.461
N048.35.23.697 W002.04.34.002
N048.35.22.191 W002.04.33.632


COLOR_Building
N048.35.20.396 W002.04.32.595
N048.35.21.234 W002.04.32.805
N048.35.21.183 W002.04.33.298
N048.35.20.336 W002.04.33.074


COLOR_Building
N048.35.18.596 W002.04.31.214
N048.35.19.432 W002.04.31.473
N048.35.19.279 W002.04.32.797
N048.35.18.411 W002.04.32.575


COLOR_Building
N048.35.15.840 W002.04.27.902
N048.35.16.348 W002.04.27.584
N048.35.17.098 W002.04.29.975
N048.35.16.954 W002.04.30.089
N048.35.17.558 W002.04.31.937
N048.35.17.203 W002.04.32.208


COLOR_Building
N048.35.15.287 W002.04.24.577
N048.35.15.397 W002.04.24.899
N048.35.15.554 W002.04.24.828
N048.35.15.767 W002.04.25.531
N048.35.15.231 W002.04.25.887
N048.35.14.925 W002.04.24.851


COLOR_Building
N048.35.12.884 W002.04.18.598
N048.35.12.453 W002.04.18.891
N048.35.11.645 W002.04.16.300
N048.35.12.841 W002.04.15.486
N048.35.13.596 W002.04.18.028
N048.35.14.081 W002.04.17.734
N048.35.14.605 W002.04.19.423
N048.35.13.414 W002.04.20.308


COLOR_Building
N048.35.11.129 W002.04.13.782
N048.35.11.519 W002.04.13.506
N048.35.11.840 W002.04.14.581
N048.35.11.435 W002.04.14.879


COLOR_Building
N048.35.10.839 W002.04.10.751
N048.35.11.128 W002.04.10.739
N048.35.11.167 W002.04.11.786
N048.35.10.862 W002.04.11.798


COLOR_Building
N048.35.45.209 W002.05.08.142
N048.35.46.003 W002.05.07.758
N048.35.46.273 W002.05.09.037
N048.35.46.375 W002.05.08.971
N048.35.46.586 W002.05.09.883
N048.35.46.746 W002.05.09.795
N048.35.46.921 W002.05.10.599
N048.35.46.455 W002.05.10.864
N048.35.46.629 W002.05.11.657
N048.35.47.001 W002.05.11.503
N048.35.47.291 W002.05.12.852
N048.35.46.373 W002.05.13.343


COLOR_RunwayBorder
N048.35.05.015 W002.04.14.243
N048.35.05.951 W002.04.15.537
N048.35.05.903 W002.04.15.605
N048.35.04.973 W002.04.14.311


COLOR_RunwayBorder
N048.35.05.388 W002.04.13.959
N048.35.05.458 W002.04.13.964
N048.35.05.521 W002.04.15.871
N048.35.05.451 W002.04.15.876
