[ARTCC]
TMA LFSB TMA Bale Mulhouse               N047.34.08.000 E007.41.10.000 N047.33.02.000 E007.41.02.000
                                         N047.53.08.873 E007.14.03.343 N047.52.08.077 E007.14.40.953
                                         N047.52.08.077 E007.14.40.953 N047.51.11.988 E007.15.32.303
                                         N047.51.11.988 E007.15.32.303 N047.51.00.000 E007.15.46.000
                                         N047.51.00.000 E007.15.46.000 N047.44.16.000 E007.01.47.000
                                         N047.59.55.000 E006.48.30.000 N048.14.09.000 E007.05.31.000
                                         N048.02.10.562 E007.21.56.276 N048.02.26.000 E007.21.59.000
                                         N048.02.26.000 E007.21.59.000 N048.13.14.000 E007.23.59.000
                                         N047.56.00.000 E007.35.06.000 N047.56.00.000 E007.14.57.000
                                         N047.34.04.000 E007.41.13.000 N047.26.00.000 E007.47.00.000
                                         N047.26.00.000 E007.47.00.000 N047.25.52.000 E007.46.41.000
                                         N047.25.52.000 E007.46.41.000 N047.23.00.000 E007.39.30.000
                                         N047.23.00.000 E007.39.30.000 N047.24.45.000 E007.22.49.000
                                         N047.24.45.000 E007.22.49.000 N047.25.56.000 E007.23.03.000
                                         N047.25.56.000 E007.23.03.000 N047.28.55.000 E007.23.41.000
                                         N047.24.45.000 E007.22.49.000 N047.26.25.000 E007.05.47.000
                                         N047.26.25.000 E007.05.47.000 N047.28.50.555 E007.03.32.406
                                         N047.28.50.555 E007.03.32.406 N047.29.47.000 E007.02.55.000
                                         N047.29.47.000 E007.02.55.000 N047.31.43.981 E007.01.45.548
                                         N047.31.43.981 E007.01.45.548 N047.34.46.681 E007.00.40.363
                                         N047.34.46.681 E007.00.40.363 N047.37.54.178 E007.00.18.455
                                         N047.37.54.178 E007.00.18.455 N047.41.01.862 E007.00.40.363
                                         N047.41.01.862 E007.00.40.363 N047.44.05.105 E007.01.45.548
                                         N047.44.05.105 E007.01.45.548 N047.44.16.000 E007.01.47.000
                                         N047.26.36.000 E007.03.42.000 N047.26.25.000 E007.05.47.000
                                         N047.45.00.000 E006.48.30.000 N047.44.41.000 E006.54.12.000
                                         N047.27.22.000 E006.56.26.000 N047.29.20.000 E006.36.50.000
                                         N047.26.36.000 E007.03.42.000 N047.27.02.000 E006.59.49.000
                                         N047.27.02.000 E006.59.49.000 N047.27.22.000 E006.56.26.000
                                         N047.27.22.000 E006.56.26.000 N047.30.09.402 E006.54.42.424
                                         N047.30.09.402 E006.54.42.424 N047.33.57.690 E006.53.20.945
                                         N047.33.57.690 E006.53.20.945 N047.37.52.028 E006.52.53.560
                                         N047.37.52.028 E006.52.53.560 N047.41.46.659 E006.53.20.945
                                         N047.41.46.659 E006.53.20.945 N047.44.41.000 E006.54.12.000
                                         N047.44.41.000 E006.54.12.000 N047.44.16.000 E007.01.47.000
                                         N047.50.00.000 E006.48.30.000 N047.45.00.000 E006.48.30.000
                                         N047.45.00.000 E006.48.30.000 N047.39.00.000 E006.39.00.000
                                         N047.39.00.000 E006.39.00.000 N047.29.20.000 E006.36.50.000
                                         N047.29.20.000 E006.36.50.000 N047.32.00.000 E006.20.00.000
                                         N047.32.00.000 E006.20.00.000 N047.35.00.000 E006.20.41.000
                                         N047.35.00.000 E006.20.41.000 N047.54.00.000 E006.25.00.000
                                         N047.54.00.000 E006.25.00.000 N047.50.00.000 E006.48.30.000
                                         N047.50.00.000 E006.48.30.000 N047.59.55.000 E006.48.30.000
                                         N047.27.02.000 E006.59.49.000 N047.26.57.552 E006.59.42.288
                                         N047.26.57.552 E006.59.42.288 N047.26.56.040 E006.59.38.148
                                         N047.26.56.040 E006.59.38.148 N047.26.52.368 E006.59.24.936
                                         N047.26.52.368 E006.59.24.936 N047.26.51.540 E006.59.20.364
                                         N047.26.51.540 E006.59.20.364 N047.26.52.584 E006.59.06.216
                                         N047.26.52.584 E006.59.06.216 N047.26.56.328 E006.58.53.148
                                         N047.26.56.328 E006.58.53.148 N047.26.49.020 E006.58.22.440
                                         N047.26.49.020 E006.58.22.440 N047.26.49.380 E006.58.13.080
                                         N047.26.49.380 E006.58.13.080 N047.26.15.756 E006.57.58.428
                                         N047.26.15.756 E006.57.58.428 N047.26.08.484 E006.57.49.140
                                         N047.26.08.484 E006.57.49.140 N047.26.01.392 E006.57.27.936
                                         N047.26.01.392 E006.57.27.936 N047.26.06.252 E006.57.16.632
                                         N047.26.06.252 E006.57.16.632 N047.26.01.320 E006.56.21.084
                                         N047.26.01.320 E006.56.21.084 N047.25.48.972 E006.56.25.908
                                         N047.25.48.972 E006.56.25.908 N047.24.57.672 E006.56.30.084
                                         N047.24.57.672 E006.56.30.084 N047.24.41.796 E006.56.26.880
                                         N047.24.41.796 E006.56.26.880 N047.24.23.292 E006.56.18.960
                                         N047.24.23.292 E006.56.18.960 N047.24.21.420 E006.56.16.008
                                         N047.24.21.420 E006.56.16.008 N047.24.21.060 E006.55.28.740
                                         N047.24.21.060 E006.55.28.740 N047.24.18.684 E006.55.15.168
                                         N047.24.18.684 E006.55.15.168 N047.24.23.364 E006.55.09.984
                                         N047.24.23.364 E006.55.09.984 N047.24.19.692 E006.55.02.280
                                         N047.24.19.692 E006.55.02.280 N047.24.16.740 E006.54.48.996
                                         N047.24.16.740 E006.54.48.996 N047.24.11.628 E006.55.04.116
                                         N047.24.11.628 E006.55.04.116 N047.23.50.460 E006.54.55.548
                                         N047.23.50.460 E006.54.55.548 N047.23.46.248 E006.54.34.344
                                         N047.23.46.248 E006.54.34.344 N047.23.25.440 E006.54.41.760
                                         N047.23.25.440 E006.54.41.760 N047.23.22.020 E006.54.49.212
                                         N047.23.22.020 E006.54.49.212 N047.23.10.248 E006.54.42.984
                                         N047.23.10.248 E006.54.42.984 N047.22.58.548 E006.54.18.648
                                         N047.22.58.548 E006.54.18.648 N047.22.56.388 E006.54.14.184
                                         N047.22.56.388 E006.54.14.184 N047.22.53.976 E006.53.41.892
                                         N047.22.53.976 E006.53.41.892 N047.22.47.748 E006.53.44.088
                                         N047.22.47.748 E006.53.44.088 N047.22.23.340 E006.53.01.212
                                         N047.22.23.340 E006.53.01.212 N047.22.01.236 E006.53.05.460
                                         N047.22.01.236 E006.53.05.460 N047.21.42.804 E006.52.58.980
                                         N047.21.42.804 E006.52.58.980 N047.21.26.748 E006.52.44.328
                                         N047.21.26.748 E006.52.44.328 N047.21.08.748 E006.52.47.316
                                         N047.21.08.748 E006.52.47.316 N047.21.10.080 E006.53.05.136
                                         N047.21.10.080 E006.53.05.136 N047.21.23.004 E006.53.40.092
                                         N047.21.23.004 E006.53.40.092 N047.21.30.960 E006.53.44.700
                                         N047.21.30.960 E006.53.44.700 N047.21.27.684 E006.53.57.228
                                         N047.21.27.684 E006.53.57.228 N047.21.31.536 E006.54.03.708
                                         N047.21.31.536 E006.54.03.708 N047.21.33.840 E006.54.06.624
                                         N047.21.33.840 E006.54.06.624 N047.21.33.228 E006.54.20.520
                                         N047.21.33.228 E006.54.20.520 N047.21.26.892 E006.54.56.916
                                         N047.21.26.892 E006.54.56.916 N047.21.20.196 E006.55.06.744
                                         N047.21.20.196 E006.55.06.744 N047.21.19.080 E006.55.15.960
                                         N047.21.19.080 E006.55.15.960 N047.21.20.124 E006.55.29.820
                                         N047.21.20.124 E006.55.29.820 N047.21.30.240 E006.55.58.764
                                         N047.21.30.240 E006.55.58.764 N047.21.27.288 E006.56.06.972
                                         N047.21.27.288 E006.56.06.972 N047.21.27.180 E006.56.30.336
                                         N047.21.27.180 E006.56.30.336 N047.21.35.136 E006.57.05.076
                                         N047.21.35.136 E006.57.05.076 N047.21.31.752 E006.57.10.656
                                         N047.21.31.752 E006.57.10.656 N047.21.33.192 E006.57.38.268
                                         N047.21.33.192 E006.57.38.268 N047.21.37.260 E006.57.50.724
                                         N047.21.37.260 E006.57.50.724 N047.21.32.724 E006.57.55.620
                                         N047.21.32.724 E006.57.55.620 N047.21.33.660 E006.58.04.332
