; ======================================================== LFRN AVISO ========================================================

[GEO]

LFRN AVISO N048.04.22.557 W001.43.17.632 N048.04.20.289 W001.43.22.514 COLOR_Taxiway
N048.04.08.595 W001.43.48.888
N048.04.11.507 W001.43.47.966
N048.04.08.433 W001.43.23.291
N048.04.08.643 W001.43.19.684
N048.04.09.067 W001.43.19.604
N048.04.09.118 W001.43.19.574
N048.04.09.147 W001.43.19.240
N048.04.09.223 W001.43.18.743
N048.04.09.404 W001.43.17.899
N048.04.09.565 W001.43.17.429
N048.04.09.797 W001.43.16.999
N048.04.10.037 W001.43.16.713
N048.04.10.330 W001.43.16.442
N048.04.10.562 W001.43.16.264
N048.04.10.919 W001.43.16.060
N048.04.11.099 W001.43.17.480
N048.04.10.912 W001.43.17.632
N048.04.10.665 W001.43.17.876
N048.04.10.466 W001.43.18.182
N048.04.10.285 W001.43.18.570
N048.04.10.184 W001.43.18.924
N048.04.09.953 W001.43.20.349
N048.04.09.852 W001.43.21.373
N048.04.09.806 W001.43.22.699
N048.04.09.840 W001.43.23.702
N048.04.09.898 W001.43.24.397
N048.04.09.946 W001.43.24.859
N048.04.10.239 W001.43.27.138
N048.04.10.323 W001.43.27.304
N048.04.10.508 W001.43.27.456
N048.04.10.661 W001.43.27.541
N048.04.10.901 W001.43.27.555
N048.04.11.110 W001.43.27.487
N048.04.11.342 W001.43.27.346
N048.04.12.083 W001.43.26.752
N048.04.12.377 W001.43.27.539
N048.04.11.311 W001.43.28.465

REGIONNAME LFRN AVISO
COLOR_HardSurface2 N048.04.18.152 W001.43.23.980
N048.04.18.597 W001.43.23.835
N048.04.18.863 W001.43.23.726
N048.04.19.055 W001.43.23.548
N048.04.19.227 W001.43.23.389
N048.04.19.425 W001.43.23.110
N048.04.19.570 W001.43.22.814
N048.04.19.688 W001.43.22.496
N048.04.19.770 W001.43.22.182
N048.04.19.806 W001.43.21.894
N048.04.19.826 W001.43.21.541
N048.04.19.830 W001.43.21.201
N048.04.20.611 W001.43.27.252
N048.04.20.487 W001.43.26.823
N048.04.20.381 W001.43.26.496
N048.04.20.258 W001.43.26.179
N048.04.20.123 W001.43.25.865
N048.04.19.970 W001.43.25.579
