COLOR_GrasSurface
N046.10.27.139 W001.11.33.093
N046.10.27.183 W001.11.33.119
N046.10.27.215 W001.11.33.140
N046.10.27.231 W001.11.33.155
N046.10.27.238 W001.11.33.154
N046.10.27.243 W001.11.33.145
N046.10.27.245 W001.11.33.130
N046.10.27.240 W001.11.33.106
N046.10.27.044 W001.11.32.542
N046.10.26.841 W001.11.31.938
N046.10.26.702 W001.11.31.518
N046.10.26.649 W001.11.31.376
N046.10.26.599 W001.11.31.286
N046.10.26.551 W001.11.31.208
N046.10.26.498 W001.11.31.138
N046.10.26.443 W001.11.31.079
N046.10.26.387 W001.11.31.025
N046.10.26.311 W001.11.30.970
N046.10.26.208 W001.11.30.890
N046.10.26.151 W001.11.30.848
N046.10.26.115 W001.11.30.821
N046.10.26.077 W001.11.30.789
N046.10.26.191 W001.11.30.543
N046.10.26.216 W001.11.30.557
N046.10.26.257 W001.11.30.569
N046.10.26.311 W001.11.30.572
N046.10.26.360 W001.11.30.562
N046.10.26.409 W001.11.30.535
N046.10.26.463 W001.11.30.493
N046.10.26.505 W001.11.30.448
N046.10.26.538 W001.11.30.400
N046.10.26.566 W001.11.30.346
N046.10.26.598 W001.11.30.266
N046.10.26.617 W001.11.30.214
N046.10.26.634 W001.11.30.148
N046.10.26.643 W001.11.30.089
N046.10.26.644 W001.11.29.897
N046.10.26.813 W001.11.29.891
N046.10.26.830 W001.11.30.538
N046.10.26.838 W001.11.30.866
N046.10.26.842 W001.11.30.998
N046.10.26.855 W001.11.31.107
N046.10.26.875 W001.11.31.201
N046.10.26.926 W001.11.31.370
N046.10.26.984 W001.11.31.545
N046.10.27.226 W001.11.32.253
N046.10.27.486 W001.11.33.024
N046.10.27.709 W001.11.33.690
N046.10.27.798 W001.11.33.956
N046.10.27.868 W001.11.34.152
N046.10.27.061 W001.11.34.713
 
COLOR_HardSurface4
N046.10.26.650 W001.11.29.187
N046.10.26.641 W001.11.29.048
N046.10.26.630 W001.11.28.948
N046.10.26.611 W001.11.28.844
N046.10.26.594 W001.11.28.768
N046.10.26.566 W001.11.28.690
N046.10.26.532 W001.11.28.620
N046.10.26.496 W001.11.28.564
N046.10.26.462 W001.11.28.526
N046.10.26.408 W001.11.28.474
N046.10.26.375 W001.11.28.446
N046.10.26.333 W001.11.28.430
N046.10.26.291 W001.11.28.419
N046.10.26.245 W001.11.28.418
N046.10.26.192 W001.11.28.428
N046.10.26.138 W001.11.28.450
N046.10.26.085 W001.11.28.489
N046.10.26.043 W001.11.28.544
N046.10.26.004 W001.11.28.611
N046.10.25.964 W001.11.28.695
N046.10.25.935 W001.11.28.780
N046.10.25.915 W001.11.28.853
N046.10.25.907 W001.11.28.939
N046.10.25.899 W001.11.29.045
N046.10.25.897 W001.11.29.182
N046.10.25.917 W001.11.29.766
N046.10.25.925 W001.11.29.868
N046.10.25.938 W001.11.30.011
N046.10.25.949 W001.11.30.100
N046.10.25.960 W001.11.30.181
N046.10.25.983 W001.11.30.262
N046.10.26.017 W001.11.30.350
N046.10.26.051 W001.11.30.406
N046.10.26.089 W001.11.30.454
N046.10.26.121 W001.11.30.487
N046.10.26.159 W001.11.30.520
N046.10.26.200 W001.11.30.548
N046.10.26.083 W001.11.30.795
N046.10.26.020 W001.11.30.737
N046.10.25.950 W001.11.30.654
N046.10.25.909 W001.11.30.591
N046.10.25.879 W001.11.30.533
N046.10.25.844 W001.11.30.448
N046.10.25.817 W001.11.30.365
N046.10.25.800 W001.11.30.290
N046.10.25.781 W001.11.30.185
N046.10.25.769 W001.11.30.094
N046.10.25.761 W001.11.29.979
N046.10.25.757 W001.11.29.884
N046.10.25.740 W001.11.29.895
N046.10.25.723 W001.11.29.894
N046.10.25.709 W001.11.29.880
N046.10.25.700 W001.11.29.855
N046.10.25.688 W001.11.29.570
N046.10.25.697 W001.11.28.770
N046.10.25.717 W001.11.28.730
N046.10.25.721 W001.11.28.527
N046.10.25.754 W001.11.28.527
N046.10.25.771 W001.11.28.482
N046.10.25.799 W001.11.28.410
N046.10.25.848 W001.11.28.325
N046.10.25.913 W001.11.28.249
N046.10.25.978 W001.11.28.186
N046.10.26.044 W001.11.28.148
N046.10.26.107 W001.11.28.113
N046.10.26.169 W001.11.28.093
N046.10.26.224 W001.11.28.087
N046.10.26.284 W001.11.28.091
N046.10.26.355 W001.11.28.109
N046.10.26.420 W001.11.28.129
N046.10.26.485 W001.11.28.179
N046.10.26.551 W001.11.28.238
N046.10.26.600 W001.11.28.301
N046.10.26.652 W001.11.28.395
N046.10.26.691 W001.11.28.495
N046.10.26.726 W001.11.28.604
N046.10.26.750 W001.11.28.720
N046.10.26.771 W001.11.28.849
N046.10.26.784 W001.11.29.010
N046.10.26.796 W001.11.29.201
N046.10.26.804 W001.11.29.394
N046.10.26.813 W001.11.29.902
N046.10.26.643 W001.11.29.902
N046.10.26.643 W001.11.29.753
N046.10.26.653 W001.11.29.736
 
COLOR_HardSurface4
N046.10.47.578 W001.12.39.580
N046.10.46.128 W001.12.39.673
N046.10.46.074 W001.12.37.708
N046.10.47.517 W001.12.37.617
