N049.00.05.660 E002.34.30.970 E18
N049.00.05.790 E002.34.34.410 E20
N049.00.06.140 E002.34.37.900 E22
N049.00.06.380 E002.34.41.470 E24
N049.00.06.470 E002.34.45.020 E26
N049.00.06.460 E002.34.48.610 E30
N049.00.06.440 E002.34.52.040 E32
N049.00.06.370 E002.34.56.000 E34
N049.00.08.830 E002.34.52.700 E38
N049.00.09.240 E002.34.50.680 E40
N049.00.08.610 E002.34.49.000 E42
N049.00.07.750 E002.33.56.520 C02
N049.00.07.540 E002.33.59.640 C04
N049.00.07.630 E002.34.02.540 C06
N049.00.08.190 E002.34.05.520 C08
N049.00.07.400 E002.34.07.750 C10
N049.00.08.480 E002.34.08.200 C12
N049.00.09.360 E002.34.10.670 C14
N049.00.07.620 E002.33.57.570 CFW
N049.00.07.040 E002.34.00.390 C04A
N049.00.08.630 E002.34.10.820 CFE
N049.00.00.950 E002.34.01.180 C03
N049.00.01.110 E002.34.03.720 C05
N049.00.00.790 E002.34.07.270 C07
N049.00.01.140 E002.34.05.720 CF9
N049.00.07.470 E002.33.38.250 A04
N049.00.06.980 E002.33.37.460 A06
N049.00.07.160 E002.33.40.900 A08
N049.00.07.110 E002.33.43.650 A10
N049.00.06.830 E002.33.46.650 A12
N049.00.07.450 E002.33.49.050 A14
N049.00.06.900 E002.33.48.630 A16
N049.00.08.160 E002.33.51.210 A18
N048.59.59.870 E002.33.38.750 A01
N048.59.59.110 E002.33.41.370 A03
N048.59.59.500 E002.33.44.870 A05
N048.59.59.720 E002.33.48.160 A07
N048.59.59.920 E002.33.51.480 A09
N049.00.08.290 E002.33.30.060 A30
N049.00.07.050 E002.33.29.750 A32
N049.00.06.940 E002.33.31.200 A34
N049.00.06.550 E002.33.32.890 A38
N048.59.58.740 E002.33.33.390 A39
N049.00.11.680 E002.33.22.690 G10
N049.00.11.760 E002.33.23.450 G11
N049.00.11.770 E002.33.24.000 G12
N049.00.11.940 E002.33.24.930 G13
N049.00.11.810 E002.33.25.380 G14
N049.00.17.980 E002.33.22.230 G31
N049.00.18.060 E002.33.25.770 G35
N049.00.14.890 E002.33.21.540 G20
N049.00.14.210 E002.33.21.560 G21
N049.00.14.600 E002.33.23.240 G22
N049.00.14.510 E002.33.25.130 G23
N049.00.14.450 E002.33.24.000 G24
N049.00.27.460 E002.35.06.760 K01
N049.00.26.850 E002.35.06.820 K05
N049.00.24.860 E002.35.07.000 K09
N049.00.22.920 E002.35.07.300 K13
N049.00.22.270 E002.35.07.320 K17
N049.00.20.150 E002.35.07.560 K21
N049.00.13.140 E002.35.08.410 K53
N049.00.10.250 E002.35.08.680 K59
N049.00.07.300 E002.35.09.090 K65
N049.00.05.100 E002.35.09.350 K71
N049.00.27.830 E002.35.23.590 K26
N049.00.25.490 E002.35.24.040 K32
N049.00.23.170 E002.35.24.100 K38
N049.00.20.790 E002.35.24.310 K44
N049.00.14.330 E002.35.25.190 K52
N049.00.11.970 E002.35.25.380 K58
N049.00.09.630 E002.35.25.700 K64
N049.00.07.280 E002.35.26.000 K70
N049.00.04.950 E002.35.26.440 K76
N049.00.27.950 E002.35.27.510 L27
N049.00.25.120 E002.35.27.940 L33
N049.00.22.290 E002.35.28.190 L39
N049.00.14.020 E002.35.29.510 L53
N049.00.11.200 E002.35.29.840 L59
N049.00.08.380 E002.35.30.180 L65
N049.00.05.540 E002.35.30.480 L71
N049.00.15.320 E002.35.52.330 J01
N049.00.14.170 E002.35.52.450 J02
N049.00.13.130 E002.35.52.720 J03
N049.00.13.090 E002.35.53.910 J04
N049.00.14.600 E002.35.53.700 J05
N049.00.15.660 E002.35.53.680 J06
N049.00.17.540 E002.36.00.550 J10
N049.00.16.190 E002.36.00.710 J11
N049.00.14.950 E002.36.00.880 J12
N049.00.14.130 E002.36.00.140 J13
N049.00.14.260 E002.36.01.550 J14
N049.00.14.440 E002.36.03.130 J16
N049.00.14.800 E002.36.03.450 J18
N049.00.15.930 E002.36.03.200 J20
N049.00.17.000 E002.36.03.150 J21
N049.00.17.440 E002.36.10.620 J30
N049.00.16.340 E002.36.10.580 J31
N049.00.15.230 E002.36.10.410 J33
N049.00.14.600 E002.36.10.670 J34
N049.00.14.940 E002.36.12.790 J37
N049.00.14.950 E002.36.13.940 J38
N049.00.15.580 E002.36.13.280 J39
N049.00.16.710 E002.36.13.150 J40
N049.00.18.080 E002.36.12.910 J41
N049.00.36.420 E002.35.53.630 J51
N049.00.34.090 E002.35.53.800 J53
N049.00.31.790 E002.35.54.110 J55
N049.00.29.470 E002.35.54.390 J57
N049.00.52.950 E002.32.41.900 U03
N049.00.51.590 E002.32.41.870 U04
N049.00.50.290 E002.32.41.660 U05
N049.00.47.000 E002.32.39.690 U06
N049.00.45.320 E002.32.40.570 U07
N049.00.45.770 E002.32.41.250 U08
N049.00.47.560 E002.32.43.830 U10
N049.00.49.120 E002.32.43.960 U11
N049.00.51.420 E002.32.44.290 U12
N049.00.53.780 E002.32.43.830 U13
N049.00.56.010 E002.32.42.840 U14
N049.00.57.680 E002.32.40.780 U15
N049.00.59.170 E002.32.38.220 U16
N049.00.58.940 E002.32.34.270 U17
N049.01.01.500 E002.32.30.330 W04
N049.01.01.250 E002.32.27.500 W05
N049.01.00.040 E002.32.26.440 W06
N049.00.57.950 E002.32.27.950 W07
N049.00.59.260 E002.32.26.300 W08
N049.00.58.080 E002.32.24.620 X01
N049.01.00.040 E002.32.23.440 X02
N049.00.58.900 E002.32.24.890 X03
N049.00.58.760 E002.32.20.370 X04
N049.00.57.450 E002.32.18.980 X05
N049.00.56.300 E002.32.19.310 X06
N049.00.55.210 E002.32.22.930 X07
N049.00.55.620 E002.32.19.910 X08
N049.00.54.080 E002.32.20.000 Y01
N049.00.55.060 E002.32.17.050 Y02
N049.00.54.840 E002.32.19.420 Y03
N049.00.52.810 E002.32.15.940 Y04
N049.00.51.150 E002.32.16.450 Y05
N049.00.50.470 E002.32.17.490 Y06
N049.00.51.070 E002.32.21.020 Y07
N049.00.50.300 E002.32.18.990 Y08
N049.00.49.090 E002.32.20.640 Z01
N049.00.48.980 E002.32.16.940 Z02
N049.00.49.400 E002.32.19.160 Z03
N049.00.46.610 E002.32.18.420 Z04
N049.00.45.250 E002.32.19.750 Z05
N049.00.45.070 E002.32.23.590 Z06
N049.00.46.280 E002.32.24.610 Z07
N049.00.46.410 E002.32.23.200 Z09
N049.00.54.126 E002.33.38.737 PH1
N049.00.54.241 E002.33.41.028 PH2
