N049.00.25.610 E002.34.12.720 G3 West
N049.00.27.912 E002.34.27.082 G4
N049.00.28.871 E002.34.44.293 G4
N049.00.20.630 E002.33.22.720 TB1
N049.00.26.000 E002.33.52.290 TB2
N049.00.28.865 E002.34.19.680 TF1
N049.00.30.329 E002.34.32.332 TF2
N049.00.30.643 E002.34.38.233 TF3
N049.00.29.093 E002.34.48.678 TF4
N049.00.26.661 E002.34.51.828 TF5
N049.00.26.922 E002.34.56.852 TF6
N049.00.21.778 E002.34.21.002 E1
N049.00.24.121 E002.34.36.120 E2
N049.00.23.903 E002.34.51.986 E3
N049.00.24.121 E002.34.57.052 E4
N049.00.22.868 E002.35.12.170 E5
N049.00.08.865 E002.35.14.247 E5
N049.00.22.977 E002.35.18.483 E6
N049.00.09.083 E002.35.19.978 E6
N049.00.25.102 E002.35.33.850 E7
N049.00.12.025 E002.35.35.345 E8
N049.00.07.340 E002.35.35.927 E8
N049.00.30.290 E002.35.48.760 E9
N049.00.13.987 E002.35.49.716 E10
N049.00.14.695 E002.35.56.942 E11
N049.00.15.295 E002.36.06.827 E12
N049.00.15.785 E002.36.16.546 E13
N049.00.31.095 E002.34.51.487 GE1
N049.00.31.313 E002.34.57.136 GE2
N049.00.32.076 E002.35.10.343 GE3
N049.00.32.566 E002.35.20.311 GE4
N049.00.33.983 E002.35.38.087 GE5
N049.00.32.021 E002.35.40.828 GE6
N049.00.23.140 E002.35.41.908 GE7
N049.00.14.750 E002.35.43.071 GE8
N049.00.10.336 E002.35.43.486 GE9
N049.00.06.359 E002.35.43.901 GE10
N049.00.14.840 E002.35.48.670 JN
N049.00.13.380 E002.35.49.370 JS
N049.00.12.700 E002.33.21.000 TG1
N049.00.16.510 E002.33.19.390 TG2
N049.00.54.950 E002.34.46.330 TH1
N049.00.28.970 E002.35.12.420 TK1
N049.00.29.352 E002.35.17.237 TK2
N049.00.02.600 E002.35.15.410 TK3
N049.00.02.927 E002.35.21.224 TK4
N049.00.30.387 E002.35.33.684 TL1
N049.00.28.044 E002.35.36.924 TL2
N049.00.22.759 E002.35.37.588 TL3
N049.00.14.532 E002.35.38.585 TL4
N049.00.10.173 E002.35.39.083 TL5
N049.00.05.814 E002.35.39.582 TL6
N049.00.03.744 E002.35.37.173 TL7
N049.00.36.240 E002.35.44.300 TJ1
N049.00.23.340 E002.35.45.970 TJ2
N049.00.15.018 E002.35.47.142 TJ3
N049.00.11.287 E002.35.47.887 TJ4
N049.00.09.822 E002.35.48.152 TJ5
N048.59.58.560 E002.32.50.600 TM1
N048.59.53.770 E002.32.41.880 TM2
N049.00.45.870 E002.33.09.680 TQ1
N049.00.43.420 E002.33.13.040 TQ1
N049.00.59.010 E002.31.47.050 TU1
N049.00.59.220 E002.32.05.440 TU1
N049.01.01.260 E002.32.07.570 TU2
N049.01.03.080 E002.32.11.660 TU3
N049.01.05.040 E002.32.16.470 TU3
N049.01.06.570 E002.32.26.740 TU4
N049.01.07.100 E002.32.38.540 TU5
N049.01.06.540 E002.32.40.950 TU6
N049.01.07.400 E002.32.51.890 TU6
N049.00.43.520 E002.32.56.610 TU7
N049.00.08.083 E002.36.10.351 P
N049.00.07.636 E002.36.03.342 P
N049.00.07.189 E002.35.55.945 P
N049.00.06.614 E002.35.49.520 P
N049.00.07.301 E002.33.25.831 P1
N049.00.02.684 E002.33.31.126 P1
N049.00.03.378 E002.33.45.329 P1
N049.00.04.359 E002.34.04.704 P1
N049.00.02.071 E002.34.29.186 P2
N049.00.03.174 E002.34.48.748 P2
N049.00.07.424 E002.34.59.463 P3
N049.00.11.633 E002.34.52.797 P3
N049.00.11.878 E002.35.53.474 P4
N049.00.12.327 E002.36.02.694 P4
N049.00.12.940 E002.36.13.409 P4
N049.00.11.510 E002.36.13.534 P5
N049.00.11.020 E002.36.02.632 P5
N049.00.10.529 E002.35.53.661 P5
N049.00.03.110 E002.33.25.910 TA1
N049.00.00.570 E002.33.56.710 TA2
N049.00.01.180 E002.34.11.630 TA3
N048.59.59.578 E002.34.22.287 TE1
N049.00.00.355 E002.34.38.547 TE2
N049.00.01.703 E002.34.59.914 TE3
N048.59.59.826 E002.33.23.859 R
N048.59.57.527 E002.33.26.196 R
N048.59.56.059 E002.33.32.523 R
N048.59.56.123 E002.33.41.186 R
N048.59.56.697 E002.33.51.017 R
N048.59.57.464 E002.34.04.547 R
N048.59.58.230 E002.34.18.077 R
N048.59.58.868 E002.34.31.218 R
