N044.10.40.755 E000.34.50.766 N044.10.40.774 E000.34.50.905 COLOR_RunwayConcrete ; Piste-11-29-1
N044.10.40.774 E000.34.50.905 N044.10.40.779 E000.34.51.073 COLOR_RunwayConcrete ; Piste-11-29-1
N044.10.40.779 E000.34.51.073 N044.10.40.782 E000.34.51.242 COLOR_RunwayConcrete ; Piste-11-29-1
N044.10.40.782 E000.34.51.242 N044.10.40.777 E000.34.51.392 COLOR_RunwayConcrete ; Piste-11-29-1
N044.10.40.777 E000.34.51.392 N044.10.40.753 E000.34.51.493 COLOR_RunwayConcrete ; Piste-11-29-1
N044.10.40.753 E000.34.51.493 N044.10.40.723 E000.34.51.621 COLOR_RunwayConcrete ; Piste-11-29-1
N044.10.40.723 E000.34.51.621 N044.10.40.675 E000.34.51.756 COLOR_RunwayConcrete ; Piste-11-29-1
N044.10.40.675 E000.34.51.756 N044.10.40.626 E000.34.51.857 COLOR_RunwayConcrete ; Piste-11-29-1
N044.10.40.626 E000.34.51.857 N044.10.40.564 E000.34.51.962 COLOR_RunwayConcrete ; Piste-11-29-1
N044.10.40.564 E000.34.51.962 N044.10.40.489 E000.34.52.074 COLOR_RunwayConcrete ; Piste-11-29-1
N044.10.40.489 E000.34.52.074 N044.10.40.392 E000.34.52.179 COLOR_RunwayConcrete ; Piste-11-29-1
N044.10.40.392 E000.34.52.179 N044.10.40.312 E000.34.52.262 COLOR_RunwayConcrete ; Piste-11-29-1
N044.10.40.312 E000.34.52.262 N044.10.40.226 E000.34.52.306 COLOR_RunwayConcrete ; Piste-11-29-1
N044.10.40.226 E000.34.52.306 N044.10.40.156 E000.34.52.346 COLOR_RunwayConcrete ; Piste-11-29-1
N044.10.40.156 E000.34.52.346 N044.10.40.070 E000.34.52.378 COLOR_RunwayConcrete ; Piste-11-29-1
N044.10.40.070 E000.34.52.378 N044.10.39.980 E000.34.52.439 COLOR_RunwayConcrete ; Piste-11-29-1
N044.10.39.980 E000.34.52.439 N044.10.39.890 E000.34.52.479 COLOR_RunwayConcrete ; Piste-11-29-1
N044.10.39.890 E000.34.52.479 N044.10.39.804 E000.34.52.544 COLOR_RunwayConcrete ; Piste-11-29-1
N044.10.39.804 E000.34.52.544 N044.10.39.677 E000.34.52.628 COLOR_RunwayConcrete ; Piste-11-29-1
N044.10.39.677 E000.34.52.628 N044.10.39.602 E000.34.52.693 COLOR_RunwayConcrete ; Piste-11-29-1
N044.10.39.602 E000.34.52.693 N044.10.39.544 E000.34.52.749 COLOR_RunwayConcrete ; Piste-11-29-1
N044.10.39.544 E000.34.52.749 N044.10.39.486 E000.34.52.818 COLOR_RunwayConcrete ; Piste-11-29-1
N044.10.39.486 E000.34.52.818 N044.10.39.428 E000.34.52.878 COLOR_RunwayConcrete ; Piste-11-29-1
N044.10.39.428 E000.34.52.878 N044.10.39.379 E000.34.52.951 COLOR_RunwayConcrete ; Piste-11-29-1
N044.10.39.379 E000.34.52.951 N044.10.39.327 E000.34.53.027 COLOR_RunwayConcrete ; Piste-11-29-1
N044.10.39.327 E000.34.53.027 N044.10.39.290 E000.34.53.096 COLOR_RunwayConcrete ; Piste-11-29-1
N044.10.39.290 E000.34.53.096 N044.10.39.246 E000.34.53.180 COLOR_RunwayConcrete ; Piste-11-29-1
N044.10.39.246 E000.34.53.180 N044.10.39.206 E000.34.53.269 COLOR_RunwayConcrete ; Piste-11-29-1
N044.10.39.206 E000.34.53.269 N044.10.39.160 E000.34.53.349 COLOR_RunwayConcrete ; Piste-11-29-1
N044.10.39.160 E000.34.53.349 N044.10.39.116 E000.34.53.442 COLOR_RunwayConcrete ; Piste-11-29-1
N044.10.39.116 E000.34.53.442 N044.10.30.743 E000.35.22.018 COLOR_RunwayConcrete ; Piste-11-29-1
N044.10.30.349 E000.35.23.351 N044.10.29.756 E000.35.25.374 COLOR_RunwayConcrete ; Piste-11-29-2
N044.10.23.924 E000.35.45.220 N044.10.23.984 E000.35.45.155 COLOR_Taxiway ; Taxiway
N044.10.23.984 E000.35.45.155 N044.10.24.036 E000.35.45.089 COLOR_Taxiway ; Taxiway
N044.10.24.036 E000.35.45.089 N044.10.24.078 E000.35.45.031 COLOR_Taxiway ; Taxiway
N044.10.24.078 E000.35.45.031 N044.10.24.130 E000.35.44.980 COLOR_Taxiway ; Taxiway
N044.10.24.130 E000.35.44.980 N044.10.24.193 E000.35.44.919 COLOR_Taxiway ; Taxiway
N044.10.24.193 E000.35.44.919 N044.10.24.260 E000.35.44.879 COLOR_Taxiway ; Taxiway
N044.10.24.260 E000.35.44.879 N044.10.24.336 E000.35.44.824 COLOR_Taxiway ; Taxiway
N044.10.24.336 E000.35.44.824 N044.10.24.425 E000.35.44.802 COLOR_Taxiway ; Taxiway
N044.10.24.425 E000.35.44.802 N044.10.24.503 E000.35.44.781 COLOR_Taxiway ; Taxiway
N044.10.24.503 E000.35.44.781 N044.10.24.584 E000.35.44.781 COLOR_Taxiway ; Taxiway
N044.10.24.584 E000.35.44.781 N044.10.24.667 E000.35.44.788 COLOR_Taxiway ; Taxiway
N044.10.24.667 E000.35.44.788 N044.10.24.737 E000.35.44.810 COLOR_Taxiway ; Taxiway
N044.10.24.737 E000.35.44.810 N044.10.24.808 E000.35.44.839 COLOR_Taxiway ; Taxiway
N044.10.24.808 E000.35.44.839 N044.10.24.883 E000.35.44.875 COLOR_Taxiway ; Taxiway
N044.10.24.883 E000.35.44.875 N044.10.24.998 E000.35.44.915 COLOR_Taxiway ; Taxiway
