COLOR_GrasSurface          
N044.49.37.376 W000.43.20.216
N044.49.37.185 W000.43.20.125
N044.49.36.985 W000.43.20.005
N044.49.36.749 W000.43.19.864
N044.49.36.486 W000.43.19.669
N044.49.36.274 W000.43.19.502
N044.49.36.105 W000.43.19.369
N044.49.35.916 W000.43.19.196
N044.49.35.701 W000.43.18.993
N044.49.35.521 W000.43.18.827
N044.49.35.372 W000.43.18.672
N044.49.35.166 W000.43.18.438
N044.49.34.961 W000.43.18.175
N044.49.34.812 W000.43.17.974
N044.49.34.670 W000.43.17.771
N044.49.34.524 W000.43.17.548
N044.49.34.386 W000.43.17.321
N044.49.34.252 W000.43.17.088
N044.49.34.080 W000.43.16.776
N044.49.33.895 W000.43.16.400
N044.49.32.728 W000.43.14.017
N044.49.32.512 W000.43.13.617
N044.49.32.384 W000.43.13.402
N044.49.32.275 W000.43.13.249
N044.49.32.108 W000.43.13.094
N044.49.31.790 W000.43.12.870
N044.49.32.955 W000.43.11.181


COLOR_Terrain1           
N044.49.59.368 W000.42.59.438
N044.49.59.403 W000.42.59.236
N044.49.59.430 W000.42.59.006
N044.49.59.453 W000.42.58.692
N044.49.59.457 W000.42.58.353
N044.49.59.443 W000.42.58.049
N044.49.59.402 W000.42.57.727
N044.49.59.356 W000.42.57.427
N044.49.59.274 W000.42.57.140
N044.49.59.178 W000.42.56.723
N044.49.59.122 W000.42.56.371
N044.49.59.087 W000.42.55.888
N044.49.59.098 W000.42.55.532
N044.49.59.131 W000.42.55.143
N044.49.59.203 W000.42.54.731
N044.49.59.304 W000.42.54.341
N044.50.00.281 W000.42.50.531
N044.50.00.361 W000.42.50.317
N044.50.00.449 W000.42.50.104
N044.50.00.655 W000.42.49.681
N044.50.01.172 W000.42.48.624
N044.50.01.457 W000.42.48.008
N044.50.01.756 W000.42.47.396
N044.50.02.084 W000.42.46.721
N044.50.02.807 W000.42.47.118
N044.50.02.899 W000.42.46.990
N044.50.02.993 W000.42.46.850
N044.50.03.070 W000.42.46.718
N044.50.03.142 W000.42.46.540
N044.50.03.218 W000.42.46.313
N044.50.03.406 W000.42.45.714
N044.50.03.490 W000.42.45.500
N044.50.03.576 W000.42.45.360
N044.50.03.684 W000.42.45.222
N044.50.03.801 W000.42.45.082
N044.50.03.919 W000.42.44.972
N044.50.04.023 W000.42.44.893
N044.50.04.143 W000.42.44.806
N044.50.04.293 W000.42.44.724
N044.50.04.440 W000.42.44.673
N044.50.04.563 W000.42.44.634
N044.50.04.711 W000.42.44.617
N044.50.04.842 W000.42.44.622
N044.50.04.985 W000.42.44.635
N044.50.05.091 W000.42.44.657
N044.50.05.278 W000.42.44.723
N044.50.05.477 W000.42.44.806
N044.50.05.679 W000.42.44.888
N044.50.05.722 W000.42.44.759
N044.50.06.035 W000.42.44.926
N044.50.06.337 W000.42.45.070
N044.50.06.627 W000.42.45.212
N044.50.06.879 W000.42.45.336
N044.50.07.038 W000.42.45.454
N044.50.07.025 W000.42.45.533
N044.50.07.152 W000.42.45.590
N044.50.09.809 W000.42.46.953
N044.50.09.937 W000.42.47.063
N044.50.10.108 W000.42.47.169
N044.50.10.303 W000.42.47.264
N044.50.10.506 W000.42.47.334
N044.50.10.662 W000.42.47.381
N044.50.10.796 W000.42.47.410
N044.50.10.905 W000.42.47.416
N044.50.10.988 W000.42.47.404
N044.50.11.097 W000.42.47.412
N044.50.11.475 W000.42.47.431
N044.50.11.502 W000.42.47.436
N044.50.11.523 W000.42.47.466
N044.50.11.532 W000.42.47.507
N044.50.11.553 W000.42.47.534
N044.50.11.582 W000.42.47.545
N044.50.11.684 W000.42.47.552
N044.50.11.800 W000.42.47.554
N044.50.11.939 W000.42.47.523
N044.50.12.090 W000.42.47.488
N044.50.12.222 W000.42.47.442
N044.50.12.273 W000.42.47.426
N044.50.12.309 W000.42.47.396
N044.50.12.335 W000.42.47.365
N044.50.12.355 W000.42.47.351
N044.50.12.400 W000.42.47.333
N044.50.12.463 W000.42.47.311
N044.50.12.539 W000.42.47.272
N044.50.12.584 W000.42.47.249
N044.50.12.607 W000.42.47.225
N044.50.12.642 W000.42.47.156
N044.50.13.565 W000.42.46.827
N044.50.12.971 W000.42.47.666
N044.50.12.953 W000.42.47.655
N044.50.12.935 W000.42.47.651
N044.50.12.906 W000.42.47.651
N044.50.12.883 W000.42.47.664
N044.50.12.817 W000.42.47.716
N044.50.12.717 W000.42.47.795
N044.50.12.572 W000.42.47.940
N044.50.12.451 W000.42.48.052
N044.50.12.306 W000.42.48.197
N044.50.12.295 W000.42.48.298
N044.50.12.166 W000.42.48.365
N044.50.12.030 W000.42.48.440
N044.50.11.838 W000.42.48.526
N044.50.11.680 W000.42.48.568
N044.50.11.503 W000.42.48.591
N044.50.11.357 W000.42.48.594
N044.50.11.170 W000.42.48.579
N044.50.10.971 W000.42.48.553
N044.50.10.945 W000.42.48.716
N044.50.10.888 W000.42.49.126
N044.50.09.906 W000.42.48.742
N044.50.09.793 W000.42.48.777
N044.50.09.707 W000.42.48.871
N044.50.09.619 W000.42.49.191
N044.50.09.540 W000.42.49.406
N044.50.09.380 W000.42.49.591
N044.50.09.167 W000.42.49.795
N044.50.09.003 W000.42.50.112
N044.50.08.887 W000.42.50.411
N044.50.08.187 W000.42.50.071
N044.50.08.232 W000.42.49.897
N044.50.07.198 W000.42.49.404
N044.50.07.590 W000.42.47.733
N044.50.04.909 W000.42.46.435
N044.50.04.677 W000.42.46.323
N044.50.04.475 W000.42.46.286
N044.50.04.328 W000.42.46.321
N044.50.04.176 W000.42.46.440
N044.50.04.022 W000.42.46.562
N044.50.03.869 W000.42.46.776
N044.50.03.768 W000.42.46.943
N044.50.03.673 W000.42.47.151
N044.50.03.601 W000.42.47.368
N044.50.03.524 W000.42.47.685
N044.50.03.444 W000.42.48.108
N044.50.03.390 W000.42.48.446
N044.50.03.358 W000.42.48.704
N044.50.03.344 W000.42.48.980
N044.50.03.355 W000.42.49.190
N044.50.03.376 W000.42.49.492
N044.50.03.396 W000.42.49.803
N044.50.03.394 W000.42.50.053
N044.50.03.365 W000.42.50.308
N044.50.03.324 W000.42.50.577
N044.50.03.243 W000.42.50.896
N044.50.01.820 W000.42.56.425
N044.50.01.753 W000.42.56.641
N044.50.01.680 W000.42.56.798
N044.50.01.571 W000.42.57.009
N044.50.01.447 W000.42.57.202
N044.50.01.315 W000.42.57.366
N044.50.01.018 W000.42.57.706
N044.50.00.831 W000.42.57.954
N044.50.00.648 W000.42.58.245
N044.50.00.481 W000.42.58.519
N044.50.00.310 W000.42.58.855
N044.50.00.131 W000.42.59.216
N044.49.59.952 W000.42.59.655
N044.49.59.794 W000.43.00.119
N044.49.59.289 W000.42.59.832


COLOR_HardSurface4         
N044.50.27.745 W000.41.50.047
N044.50.28.803 W000.41.51.510
N044.50.19.831 W000.42.04.289
N044.50.18.792 W000.42.02.858


COLOR_HardSurface4         
N044.49.54.370 W000.43.44.953
N044.49.57.709 W000.44.01.067
N044.49.56.320 W000.44.01.631
N044.49.52.956 W000.43.45.535


COLOR_HardSurface4         
N044.49.09.353 W000.43.44.963
N044.49.01.239 W000.43.56.524
N044.49.00.195 W000.43.55.076
N044.49.08.320 W000.43.43.526


COLOR_HardSurface4         
N044.49.27.407 W000.41.43.723
N044.49.28.796 W000.41.43.160
N044.49.32.196 W000.41.59.348
N044.49.30.793 W000.41.59.887


COLOR_HardSurface4         
N044.50.13.827 W000.41.46.319
N044.50.14.568 W000.41.46.305
N044.50.14.625 W000.41.46.295
N044.50.14.679 W000.41.46.270
N044.50.14.726 W000.41.46.226
N044.50.14.763 W000.41.46.167
N044.50.14.791 W000.41.46.102
N044.50.14.807 W000.41.46.028
N044.50.14.805 W000.41.45.950
N044.50.14.790 W000.41.45.866
N044.50.14.739 W000.41.45.783
N044.50.14.419 W000.41.45.381
N044.50.14.605 W000.41.45.106
N044.50.15.020 W000.41.45.666
N044.50.15.084 W000.41.45.761
N044.50.15.133 W000.41.45.853
N044.50.15.160 W000.41.45.926
N044.50.15.173 W000.41.45.998
N044.50.15.180 W000.41.46.077
N044.50.15.181 W000.41.46.156
N044.50.15.175 W000.41.46.229
N044.50.15.161 W000.41.46.312
N044.50.15.134 W000.41.46.402
N044.50.15.104 W000.41.46.480
N044.50.15.067 W000.41.46.557
N044.50.15.012 W000.41.46.652
N044.50.14.946 W000.41.46.754
N044.50.14.845 W000.41.46.907
N044.50.13.283 W000.41.46.980
N044.50.13.768 W000.41.46.307


COLOR_HardSurface4         
N044.49.57.860 W000.42.09.900
N044.49.55.941 W000.42.09.657
N044.49.54.983 W000.42.11.138
N044.49.53.700 W000.42.13.168
N044.49.53.024 W000.42.13.780
N044.49.51.392 W000.42.15.934
N044.49.51.050 W000.42.15.960
N044.49.49.127 W000.42.13.310
N044.49.48.841 W000.42.12.673
N044.49.48.674 W000.42.11.947
N044.49.48.668 W000.42.09.728
N044.49.46.725 W000.42.07.021
N044.49.46.015 W000.42.05.678
N044.49.44.582 W000.42.01.736
N044.49.44.201 W000.42.01.065
N044.49.42.966 W000.41.54.895
N044.49.43.525 W000.41.53.346
N044.49.43.668 W000.41.51.416
N044.49.42.770 W000.41.46.964
N044.49.42.428 W000.41.46.185
N044.49.40.567 W000.41.44.889
N044.49.40.140 W000.41.45.035
N044.49.39.601 W000.41.46.042
N044.49.38.943 W000.41.46.204
N044.49.38.143 W000.41.45.682
N044.49.37.689 W000.41.45.924
N044.49.36.208 W000.41.49.427
N044.49.36.018 W000.41.49.234
N044.49.37.383 W000.41.45.675
N044.49.37.411 W000.41.45.621
N044.49.37.442 W000.41.45.580
N044.49.37.484 W000.41.45.541
N044.49.37.545 W000.41.45.500
N044.49.37.704 W000.41.45.402
